step,taxi_x,taxi_y,pass_x,pass_y,dest_x,dest_y,in_taxi,action,reward
0,75,92,99,0,25,25,0,0,-1
1,75,91,99,0,25,25,0,0,-1
2,75,90,99,0,25,25,0,0,-1
3,75,89,99,0,25,25,0,0,-1
4,75,88,99,0,25,25,0,0,-1
5,75,87,99,0,25,25,0,0,-1
6,75,86,99,0,25,25,0,0,-1
7,75,85,99,0,25,25,0,0,-1
8,75,84,99,0,25,25,0,0,-1
9,75,83,99,0,25,25,0,0,-1
10,75,82,99,0,25,25,0,0,-1
11,75,81,99,0,25,25,0,0,-1
12,75,80,99,0,25,25,0,0,-1
13,75,79,99,0,25,25,0,0,-1
14,75,78,99,0,25,25,0,0,-1
15,75,77,99,0,25,25,0,0,-1
16,75,76,99,0,25,25,0,0,-1
17,75,75,99,0,25,25,0,0,-1
18,75,74,99,0,25,25,0,0,-1
19,75,73,99,0,25,25,0,0,-1
20,75,72,99,0,25,25,0,0,-1
21,75,71,99,0,25,25,0,0,-1
22,75,70,99,0,25,25,0,0,-1
23,75,69,99,0,25,25,0,0,-1
24,75,68,99,0,25,25,0,0,-1
25,75,67,99,0,25,25,0,0,-1
26,75,66,99,0,25,25,0,0,-1
27,75,65,99,0,25,25,0,0,-1
28,75,64,99,0,25,25,0,0,-1
29,75,63,99,0,25,25,0,0,-1
30,75,62,99,0,25,25,0,2,-1
31,76,62,99,0,25,25,0,0,-1
32,76,61,99,0,25,25,0,0,-1
33,76,60,99,0,25,25,0,0,-1
34,76,59,99,0,25,25,0,0,-1
35,76,58,99,0,25,25,0,0,-1
36,76,57,99,0,25,25,0,0,-1
37,76,56,99,0,25,25,0,0,-1
38,76,55,99,0,25,25,0,0,-1
39,76,54,99,0,25,25,0,0,-1
40,76,53,99,0,25,25,0,0,-1
41,76,52,99,0,25,25,0,0,-1
42,76,51,99,0,25,25,0,0,-1
43,76,50,99,0,25,25,0,0,-1
44,76,49,99,0,25,25,0,0,-1
45,76,48,99,0,25,25,0,0,-1
46,76,47,99,0,25,25,0,0,-1
47,76,46,99,0,25,25,0,0,-1
48,76,45,99,0,25,25,0,0,-1
49,76,44,99,0,25,25,0,0,-1
50,76,43,99,0,25,25,0,0,-1
51,76,42,99,0,25,25,0,0,-1
52,76,41,99,0,25,25,0,0,-1
53,76,40,99,0,25,25,0,0,-1
54,76,39,99,0,25,25,0,0,-1
55,76,38,99,0,25,25,0,0,-1
56,76,37,99,0,25,25,0,0,-1
57,76,36,99,0,25,25,0,0,-1
58,76,35,99,0,25,25,0,0,-1
59,76,34,99,0,25,25,0,0,-1
60,76,33,99,0,25,25,0,0,-1
61,76,32,99,0,25,25,0,0,-1
62,76,31,99,0,25,25,0,0,-1
63,76,30,99,0,25,25,0,0,-1
64,76,29,99,0,25,25,0,0,-1
65,76,28,99,0,25,25,0,0,-1
66,76,27,99,0,25,25,0,0,-1
67,76,26,99,0,25,25,0,0,-1
68,76,25,99,0,25,25,0,0,-1
69,76,24,99,0,25,25,0,0,-1
70,76,23,99,0,25,25,0,0,-1
71,76,22,99,0,25,25,0,2,-1
72,77,22,99,0,25,25,0,2,-1
73,78,22,99,0,25,25,0,2,-1
74,79,22,99,0,25,25,0,2,-1
75,80,22,99,0,25,25,0,2,-1
76,81,22,99,0,25,25,0,2,-1
77,82,22,99,0,25,25,0,2,-1
78,83,22,99,0,25,25,0,2,-1
79,84,22,99,0,25,25,0,2,-1
80,85,22,99,0,25,25,0,2,-1
81,86,22,99,0,25,25,0,2,-1
82,87,22,99,0,25,25,0,2,-1
83,88,22,99,0,25,25,0,2,-1
84,89,22,99,0,25,25,0,2,-1
85,90,22,99,0,25,25,0,0,-1
86,90,21,99,0,25,25,0,0,-1
87,90,20,99,0,25,25,0,0,-1
88,90,19,99,0,25,25,0,0,-1
89,90,18,99,0,25,25,0,0,-1
90,90,17,99,0,25,25,0,0,-1
91,90,16,99,0,25,25,0,0,-1
92,90,15,99,0,25,25,0,0,-1
93,90,14,99,0,25,25,0,0,-1
94,90,13,99,0,25,25,0,0,-1
95,90,12,99,0,25,25,0,0,-1
96,90,11,99,0,25,25,0,0,-1
97,90,10,99,0,25,25,0,0,-1
98,90,9,99,0,25,25,0,0,-1
99,90,8,99,0,25,25,0,0,-1
100,90,7,99,0,25,25,0,0,-1
101,90,6,99,0,25,25,0,0,-1
102,90,5,99,0,25,25,0,0,-1
103,90,4,99,0,25,25,0,0,-1
104,90,3,99,0,25,25,0,0,-1
105,90,2,99,0,25,25,0,0,-1
106,90,1,99,0,25,25,0,2,-1
107,91,1,99,0,25,25,0,2,-1
108,92,1,99,0,25,25,0,2,-1
109,93,1,99,0,25,25,0,2,-1
110,94,1,99,0,25,25,0,0,-1
111,94,0,99,0,25,25,0,2,-1
112,95,0,99,0,25,25,0,2,-1
113,96,0,99,0,25,25,0,2,-1
114,97,0,99,0,25,25,0,2,-1
115,98,0,99,0,25,25,0,2,-1
116,99,0,99,0,25,25,0,0,-1
117,99,0,99,0,25,25,0,0,-1
118,99,0,99,0,25,25,0,0,-1
119,99,0,99,0,25,25,0,0,-1
120,99,0,99,0,25,25,0,0,-1
121,99,0,99,0,25,25,0,0,-1
