step,taxi_x,taxi_y,pass_x,pass_y,dest_x,dest_y,in_taxi,action,reward
0,94,69,75,75,25,25,0,1,-1
1,94,70,75,75,25,25,0,1,-1
2,94,71,75,75,25,25,0,1,-1
3,94,72,75,75,25,25,0,1,-1
4,94,73,75,75,25,25,0,1,-1
5,94,74,75,75,25,25,0,1,-1
6,94,75,75,75,25,25,0,3,-1
7,93,75,75,75,25,25,0,3,-1
8,92,75,75,75,25,25,0,3,-1
9,91,75,75,75,25,25,0,1,-1
10,91,76,75,75,25,25,0,3,-1
11,90,76,75,75,25,25,0,3,-1
12,89,76,75,75,25,25,0,3,-1
13,88,76,75,75,25,25,0,3,-1
14,87,76,75,75,25,25,0,3,-1
15,86,76,75,75,25,25,0,3,-1
16,85,76,75,75,25,25,0,3,-1
17,84,76,75,75,25,25,0,3,-1
18,83,76,75,75,25,25,0,3,-1
19,82,76,75,75,25,25,0,3,-1
20,81,76,75,75,25,25,0,3,-1
21,80,76,75,75,25,25,0,3,-1
22,79,76,75,75,25,25,0,3,-1
23,78,76,75,75,25,25,0,3,-1
24,77,76,75,75,25,25,0,0,-1
25,77,75,75,75,25,25,0,3,-1
26,76,75,75,75,25,25,0,1,-1
27,76,76,75,75,25,25,0,0,-1
28,76,75,75,75,25,25,0,1,-1
29,76,76,75,75,25,25,0,0,-1
30,76,75,75,75,25,25,0,1,-1
31,76,76,75,75,25,25,0,0,-1
32,76,75,75,75,25,25,0,1,-1
33,76,76,75,75,25,25,0,0,-1
34,76,75,75,75,25,25,0,1,-1
35,76,76,75,75,25,25,0,0,-1
36,76,75,75,75,25,25,0,1,-1
