step,taxi_x,taxi_y,pass_x,pass_y,dest_x,dest_y,in_taxi,action,reward
0,33,72,50,50,0,99,0,0,-1
1,33,71,50,50,0,99,0,0,-1
2,33,70,50,50,0,99,0,0,-1
3,33,69,50,50,0,99,0,0,-1
4,33,68,50,50,0,99,0,0,-1
5,33,67,50,50,0,99,0,0,-1
6,33,66,50,50,0,99,0,0,-1
7,33,65,50,50,0,99,0,0,-1
8,33,64,50,50,0,99,0,0,-1
9,33,63,50,50,0,99,0,0,-1
10,33,62,50,50,0,99,0,0,-1
11,33,61,50,50,0,99,0,0,-1
12,33,60,50,50,0,99,0,0,-1
13,33,59,50,50,0,99,0,0,-1
14,33,58,50,50,0,99,0,0,-1
15,33,57,50,50,0,99,0,0,-1
16,33,56,50,50,0,99,0,0,-1
17,33,55,50,50,0,99,0,0,-1
18,33,54,50,50,0,99,0,0,-1
19,33,53,50,50,0,99,0,0,-1
20,33,52,50,50,0,99,0,0,-1
21,33,51,50,50,0,99,0,2,-1
22,34,51,50,50,0,99,0,2,-1
23,35,51,50,50,0,99,0,2,-1
24,36,51,50,50,0,99,0,2,-1
25,37,51,50,50,0,99,0,2,-1
26,38,51,50,50,0,99,0,2,-1
27,39,51,50,50,0,99,0,2,-1
28,40,51,50,50,0,99,0,2,-1
29,41,51,50,50,0,99,0,2,-1
30,42,51,50,50,0,99,0,2,-1
31,43,51,50,50,0,99,0,0,-1
32,43,50,50,50,0,99,0,0,-1
33,43,49,50,50,0,99,0,2,-1
34,44,49,50,50,0,99,0,2,-1
35,45,49,50,50,0,99,0,2,-1
36,46,49,50,50,0,99,0,3,-1
37,45,49,50,50,0,99,0,2,-1
38,46,49,50,50,0,99,0,3,-1
39,45,49,50,50,0,99,0,2,-1
40,46,49,50,50,0,99,0,3,-1
41,45,49,50,50,0,99,0,2,-1
42,46,49,50,50,0,99,0,3,-1
43,45,49,50,50,0,99,0,2,-1
44,46,49,50,50,0,99,0,3,-1
45,45,49,50,50,0,99,0,2,-1
