step,taxi_x,taxi_y,pass_x,pass_y,dest_x,dest_y,in_taxi,action,reward
0,43,12,50,50,99,0,0,2,-1
1,44,12,50,50,99,0,0,1,-1
2,44,13,50,50,99,0,0,1,-1
3,44,14,50,50,99,0,0,1,-1
4,44,15,50,50,99,0,0,1,-1
5,44,16,50,50,99,0,0,1,-1
6,44,17,50,50,99,0,0,1,-1
7,44,18,50,50,99,0,0,1,-1
8,44,19,50,50,99,0,0,1,-1
9,44,20,50,50,99,0,0,1,-1
10,44,21,50,50,99,0,0,1,-1
11,44,22,50,50,99,0,0,1,-1
12,44,23,50,50,99,0,0,1,-1
13,44,24,50,50,99,0,0,1,-1
14,44,25,50,50,99,0,0,1,-1
15,44,26,50,50,99,0,0,1,-1
16,44,27,50,50,99,0,0,1,-1
17,44,28,50,50,99,0,0,1,-1
18,44,29,50,50,99,0,0,1,-1
19,44,30,50,50,99,0,0,1,-1
20,44,31,50,50,99,0,0,1,-1
21,44,32,50,50,99,0,0,1,-1
22,44,33,50,50,99,0,0,1,-1
23,44,34,50,50,99,0,0,1,-1
24,44,35,50,50,99,0,0,1,-1
25,44,36,50,50,99,0,0,1,-1
26,44,37,50,50,99,0,0,1,-1
27,44,38,50,50,99,0,0,1,-1
28,44,39,50,50,99,0,0,1,-1
29,44,40,50,50,99,0,0,1,-1
30,44,41,50,50,99,0,0,1,-1
31,44,42,50,50,99,0,0,1,-1
32,44,43,50,50,99,0,0,1,-1
33,44,44,50,50,99,0,0,1,-1
34,44,45,50,50,99,0,0,1,-1
35,44,46,50,50,99,0,0,1,-1
36,44,47,50,50,99,0,0,1,-1
37,44,48,50,50,99,0,0,1,-1
38,44,49,50,50,99,0,0,1,-1
39,44,50,50,50,99,0,0,2,-1
40,45,50,50,50,99,0,0,2,-1
41,46,50,50,50,99,0,0,2,-1
42,47,50,50,50,99,0,0,1,-1
43,47,51,50,50,99,0,0,0,-1
44,47,50,50,50,99,0,0,1,-1
45,47,51,50,50,99,0,0,0,-1
46,47,50,50,50,99,0,0,1,-1
47,47,51,50,50,99,0,0,0,-1
48,47,50,50,50,99,0,0,1,-1
49,47,51,50,50,99,0,0,0,-1
50,47,50,50,50,99,0,0,1,-1
51,47,51,50,50,99,0,0,0,-1
52,47,50,50,50,99,0,0,1,-1
