step,taxi_x,taxi_y,pass_x,pass_y,dest_x,dest_y,in_taxi,action,reward
0,7,17,0,0,75,75,0,0,-1
1,7,16,0,0,75,75,0,0,-1
2,7,15,0,0,75,75,0,0,-1
3,7,14,0,0,75,75,0,0,-1
4,7,13,0,0,75,75,0,0,-1
5,7,12,0,0,75,75,0,0,-1
6,7,11,0,0,75,75,0,0,-1
7,7,10,0,0,75,75,0,0,-1
8,7,9,0,0,75,75,0,0,-1
9,7,8,0,0,75,75,0,0,-1
10,7,7,0,0,75,75,0,0,-1
11,7,6,0,0,75,75,0,0,-1
12,7,5,0,0,75,75,0,0,-1
13,7,4,0,0,75,75,0,0,-1
14,7,3,0,0,75,75,0,0,-1
15,7,2,0,0,75,75,0,0,-1
16,7,1,0,0,75,75,0,3,-1
17,6,1,0,0,75,75,0,3,-1
18,5,1,0,0,75,75,0,3,-1
19,4,1,0,0,75,75,0,3,-1
20,3,1,0,0,75,75,0,0,-1
21,3,0,0,0,75,75,0,3,-1
22,2,0,0,0,75,75,0,3,-1
23,1,0,0,0,75,75,0,3,-1
24,0,0,0,0,75,75,0,0,-1
25,0,0,0,0,75,75,0,0,-1
26,0,0,0,0,75,75,0,0,-1
27,0,0,0,0,75,75,0,0,-1
28,0,0,0,0,75,75,0,0,-1
29,0,0,0,0,75,75,0,0,-1
