step,taxi_x,taxi_y,pass_x,pass_y,dest_x,dest_y,in_taxi,action,reward
0,92,92,75,75,50,50,0,3,-1
1,91,92,75,75,50,50,0,3,-1
2,90,92,75,75,50,50,0,3,-1
3,89,92,75,75,50,50,0,0,-1
4,89,91,75,75,50,50,0,0,-1
5,89,90,75,75,50,50,0,3,-1
6,88,90,75,75,50,50,0,3,-1
7,87,90,75,75,50,50,0,0,-1
8,87,89,75,75,50,50,0,0,-1
9,87,88,75,75,50,50,0,0,-1
10,87,87,75,75,50,50,0,0,-1
11,87,86,75,75,50,50,0,0,-1
12,87,85,75,75,50,50,0,3,-1
13,86,85,75,75,50,50,0,0,-1
14,86,84,75,75,50,50,0,0,-1
15,86,83,75,75,50,50,0,3,-1
16,85,83,75,75,50,50,0,0,-1
17,85,82,75,75,50,50,0,0,-1
18,85,81,75,75,50,50,0,3,-1
19,84,81,75,75,50,50,0,0,-1
20,84,80,75,75,50,50,0,3,-1
21,83,80,75,75,50,50,0,3,-1
22,82,80,75,75,50,50,0,3,-1
23,81,80,75,75,50,50,0,3,-1
24,80,80,75,75,50,50,0,0,-1
25,80,79,75,75,50,50,0,0,-1
26,80,78,75,75,50,50,0,0,-1
27,80,77,75,75,50,50,0,0,-1
28,80,76,75,75,50,50,0,3,-1
29,79,76,75,75,50,50,0,3,-1
30,78,76,75,75,50,50,0,3,-1
31,77,76,75,75,50,50,0,3,-1
32,76,76,75,75,50,50,0,0,-1
33,76,75,75,75,50,50,0,3,-1
34,75,75,75,75,50,50,0,3,-1
35,74,75,75,75,50,50,0,1,-1
36,74,76,75,75,50,50,0,0,-1
37,74,75,75,75,50,50,0,1,-1
38,74,76,75,75,50,50,0,0,-1
39,74,75,75,75,50,50,0,1,-1
40,74,76,75,75,50,50,0,0,-1
41,74,75,75,75,50,50,0,1,-1
42,74,76,75,75,50,50,0,0,-1
43,74,75,75,75,50,50,0,1,-1
44,74,76,75,75,50,50,0,0,-1
45,74,75,75,75,50,50,0,1,-1
