step,taxi_x,taxi_y,pass_x,pass_y,dest_x,dest_y,in_taxi,action,reward
0,75,30,50,50,99,0,0,3,-1
1,74,30,50,50,99,0,0,3,-1
2,73,30,50,50,99,0,0,3,-1
3,72,30,50,50,99,0,0,3,-1
4,71,30,50,50,99,0,0,3,-1
5,70,30,50,50,99,0,0,3,-1
6,69,30,50,50,99,0,0,1,-1
7,69,31,50,50,99,0,0,3,-1
8,68,31,50,50,99,0,0,1,-1
9,68,32,50,50,99,0,0,1,-1
10,68,33,50,50,99,0,0,3,-1
11,67,33,50,50,99,0,0,1,-1
12,67,34,50,50,99,0,0,1,-1
13,67,35,50,50,99,0,0,3,-1
14,66,35,50,50,99,0,0,1,-1
15,66,36,50,50,99,0,0,1,-1
16,66,37,50,50,99,0,0,3,-1
17,65,37,50,50,99,0,0,1,-1
18,65,38,50,50,99,0,0,1,-1
19,65,39,50,50,99,0,0,3,-1
20,64,39,50,50,99,0,0,1,-1
21,64,40,50,50,99,0,0,3,-1
22,63,40,50,50,99,0,0,1,-1
23,63,41,50,50,99,0,0,1,-1
24,63,42,50,50,99,0,0,3,-1
25,62,42,50,50,99,0,0,1,-1
26,62,43,50,50,99,0,0,1,-1
27,62,44,50,50,99,0,0,1,-1
28,62,45,50,50,99,0,0,3,-1
29,61,45,50,50,99,0,0,1,-1
30,61,46,50,50,99,0,0,1,-1
31,61,47,50,50,99,0,0,1,-1
32,61,48,50,50,99,0,0,3,-1
33,60,48,50,50,99,0,0,3,-1
34,59,48,50,50,99,0,0,1,-1
35,59,49,50,50,99,0,0,3,-1
36,58,49,50,50,99,0,0,3,-1
37,57,49,50,50,99,0,0,3,-1
38,56,49,50,50,99,0,0,3,-1
39,55,49,50,50,99,0,0,3,-1
40,54,49,50,50,99,0,0,1,-1
41,54,50,50,50,99,0,0,3,-1
42,53,50,50,50,99,0,0,3,-1
43,52,50,50,50,99,0,0,3,-1
44,51,50,50,50,99,0,0,3,-1
45,50,50,50,50,99,0,0,3,-1
46,49,50,50,50,99,0,0,1,-1
47,49,51,50,50,99,0,0,0,-1
48,49,50,50,50,99,0,0,1,-1
49,49,51,50,50,99,0,0,0,-1
50,49,50,50,50,99,0,0,1,-1
51,49,51,50,50,99,0,0,0,-1
52,49,50,50,50,99,0,0,1,-1
53,49,51,50,50,99,0,0,0,-1
54,49,50,50,50,99,0,0,1,-1
55,49,51,50,50,99,0,0,0,-1
56,49,50,50,50,99,0,0,1,-1
