step,taxi_x,taxi_y,pass_x,pass_y,dest_x,dest_y,in_taxi,action,reward
0,40,6,25,25,99,0,0,1,-1
1,40,7,25,25,99,0,0,1,-1
2,40,8,25,25,99,0,0,1,-1
3,40,9,25,25,99,0,0,1,-1
4,40,10,25,25,99,0,0,1,-1
5,40,11,25,25,99,0,0,1,-1
6,40,12,25,25,99,0,0,1,-1
7,40,13,25,25,99,0,0,1,-1
8,40,14,25,25,99,0,0,1,-1
9,40,15,25,25,99,0,0,1,-1
10,40,16,25,25,99,0,0,1,-1
11,40,17,25,25,99,0,0,1,-1
12,40,18,25,25,99,0,0,3,-1
13,39,18,25,25,99,0,0,3,-1
14,38,18,25,25,99,0,0,1,-1
15,38,19,25,25,99,0,0,1,-1
16,38,20,25,25,99,0,0,1,-1
17,38,21,25,25,99,0,0,1,-1
18,38,22,25,25,99,0,0,1,-1
19,38,23,25,25,99,0,0,3,-1
20,37,23,25,25,99,0,0,3,-1
21,36,23,25,25,99,0,0,3,-1
22,35,23,25,25,99,0,0,3,-1
23,34,23,25,25,99,0,0,3,-1
24,33,23,25,25,99,0,0,1,-1
25,33,24,25,25,99,0,0,3,-1
26,32,24,25,25,99,0,0,3,-1
27,31,24,25,25,99,0,0,3,-1
28,30,24,25,25,99,0,0,3,-1
29,29,24,25,25,99,0,0,3,-1
30,28,24,25,25,99,0,0,3,-1
31,27,24,25,25,99,0,0,3,-1
32,26,24,25,25,99,0,0,1,-1
33,26,25,25,25,99,0,0,3,-1
34,25,25,25,25,99,0,0,3,-1
35,24,25,25,25,99,0,0,3,-1
36,23,25,25,25,99,0,0,3,-1
37,22,25,25,25,99,0,0,2,-1
38,23,25,25,25,99,0,0,3,-1
39,22,25,25,25,99,0,0,2,-1
40,23,25,25,25,99,0,0,3,-1
41,22,25,25,25,99,0,0,2,-1
42,23,25,25,25,99,0,0,3,-1
43,22,25,25,25,99,0,0,2,-1
44,23,25,25,25,99,0,0,3,-1
45,22,25,25,25,99,0,0,2,-1
46,23,25,25,25,99,0,0,3,-1
