step,taxi_x,taxi_y,pass_x,pass_y,dest_x,dest_y,in_taxi,action,reward
0,19,9,0,99,99,99,0,3,-1
1,18,9,0,99,99,99,0,3,-1
2,17,9,0,99,99,99,0,3,-1
3,16,9,0,99,99,99,0,3,-1
4,15,9,0,99,99,99,0,3,-1
5,14,9,0,99,99,99,0,3,-1
6,13,9,0,99,99,99,0,3,-1
7,12,9,0,99,99,99,0,1,-1
8,12,10,0,99,99,99,0,3,-1
9,11,10,0,99,99,99,0,3,-1
10,10,10,0,99,99,99,0,3,-1
11,9,10,0,99,99,99,0,3,-1
12,8,10,0,99,99,99,0,3,-1
13,7,10,0,99,99,99,0,1,-1
14,7,11,0,99,99,99,0,1,-1
15,7,12,0,99,99,99,0,1,-1
16,7,13,0,99,99,99,0,1,-1
17,7,14,0,99,99,99,0,1,-1
18,7,15,0,99,99,99,0,1,-1
19,7,16,0,99,99,99,0,1,-1
20,7,17,0,99,99,99,0,1,-1
21,7,18,0,99,99,99,0,3,-1
22,6,18,0,99,99,99,0,1,-1
23,6,19,0,99,99,99,0,1,-1
24,6,20,0,99,99,99,0,1,-1
25,6,21,0,99,99,99,0,1,-1
26,6,22,0,99,99,99,0,1,-1
27,6,23,0,99,99,99,0,1,-1
28,6,24,0,99,99,99,0,1,-1
29,6,25,0,99,99,99,0,1,-1
30,6,26,0,99,99,99,0,1,-1
31,6,27,0,99,99,99,0,1,-1
32,6,28,0,99,99,99,0,1,-1
33,6,29,0,99,99,99,0,1,-1
34,6,30,0,99,99,99,0,1,-1
35,6,31,0,99,99,99,0,1,-1
36,6,32,0,99,99,99,0,1,-1
37,6,33,0,99,99,99,0,1,-1
38,6,34,0,99,99,99,0,1,-1
39,6,35,0,99,99,99,0,1,-1
40,6,36,0,99,99,99,0,1,-1
41,6,37,0,99,99,99,0,1,-1
42,6,38,0,99,99,99,0,1,-1
43,6,39,0,99,99,99,0,1,-1
44,6,40,0,99,99,99,0,1,-1
45,6,41,0,99,99,99,0,1,-1
46,6,42,0,99,99,99,0,1,-1
47,6,43,0,99,99,99,0,1,-1
48,6,44,0,99,99,99,0,1,-1
49,6,45,0,99,99,99,0,3,-1
50,5,45,0,99,99,99,0,1,-1
51,5,46,0,99,99,99,0,1,-1
52,5,47,0,99,99,99,0,1,-1
53,5,48,0,99,99,99,0,1,-1
54,5,49,0,99,99,99,0,3,-1
55,4,49,0,99,99,99,0,3,-1
56,3,49,0,99,99,99,0,1,-1
57,3,50,0,99,99,99,0,1,-1
58,3,51,0,99,99,99,0,1,-1
59,3,52,0,99,99,99,0,1,-1
60,3,53,0,99,99,99,0,1,-1
61,3,54,0,99,99,99,0,1,-1
62,3,55,0,99,99,99,0,1,-1
63,3,56,0,99,99,99,0,1,-1
64,3,57,0,99,99,99,0,1,-1
65,3,58,0,99,99,99,0,1,-1
66,3,59,0,99,99,99,0,1,-1
67,3,60,0,99,99,99,0,1,-1
68,3,61,0,99,99,99,0,1,-1
69,3,62,0,99,99,99,0,1,-1
70,3,63,0,99,99,99,0,1,-1
71,3,64,0,99,99,99,0,1,-1
72,3,65,0,99,99,99,0,1,-1
73,3,66,0,99,99,99,0,1,-1
74,3,67,0,99,99,99,0,1,-1
75,3,68,0,99,99,99,0,1,-1
76,3,69,0,99,99,99,0,1,-1
77,3,70,0,99,99,99,0,1,-1
78,3,71,0,99,99,99,0,1,-1
79,3,72,0,99,99,99,0,1,-1
80,3,73,0,99,99,99,0,3,-1
81,2,73,0,99,99,99,0,3,-1
82,1,73,0,99,99,99,0,3,-1
83,0,73,0,99,99,99,0,1,-1
84,0,74,0,99,99,99,0,1,-1
85,0,75,0,99,99,99,0,1,-1
86,0,76,0,99,99,99,0,1,-1
87,0,77,0,99,99,99,0,1,-1
88,0,78,0,99,99,99,0,1,-1
89,0,79,0,99,99,99,0,1,-1
90,0,80,0,99,99,99,0,1,-1
91,0,81,0,99,99,99,0,1,-1
92,0,82,0,99,99,99,0,1,-1
93,0,83,0,99,99,99,0,1,-1
94,0,84,0,99,99,99,0,1,-1
95,0,85,0,99,99,99,0,1,-1
96,0,86,0,99,99,99,0,1,-1
97,0,87,0,99,99,99,0,1,-1
98,0,88,0,99,99,99,0,1,-1
99,0,89,0,99,99,99,0,1,-1
100,0,90,0,99,99,99,0,1,-1
101,0,91,0,99,99,99,0,1,-1
102,0,92,0,99,99,99,0,1,-1
103,0,93,0,99,99,99,0,1,-1
104,0,94,0,99,99,99,0,1,-1
105,0,95,0,99,99,99,0,1,-1
106,0,96,0,99,99,99,0,1,-1
107,0,97,0,99,99,99,0,1,-1
108,0,98,0,99,99,99,0,1,-1
109,0,99,0,99,99,99,0,1,-1
110,0,99,0,99,99,99,0,1,-1
111,0,99,0,99,99,99,0,1,-1
112,0,99,0,99,99,99,0,1,-1
113,0,99,0,99,99,99,0,1,-1
114,0,99,0,99,99,99,0,1,-1
