step,taxi_x,taxi_y,pass_x,pass_y,dest_x,dest_y,in_taxi,action,reward
0,6,81,0,99,99,0,0,1,-1
1,6,82,0,99,99,0,0,1,-1
2,6,83,0,99,99,0,0,1,-1
3,6,84,0,99,99,0,0,1,-1
4,6,85,0,99,99,0,0,1,-1
5,6,86,0,99,99,0,0,1,-1
6,6,87,0,99,99,0,0,1,-1
7,6,88,0,99,99,0,0,1,-1
8,6,89,0,99,99,0,0,1,-1
9,6,90,0,99,99,0,0,1,-1
10,6,91,0,99,99,0,0,1,-1
11,6,92,0,99,99,0,0,1,-1
12,6,93,0,99,99,0,0,3,-1
13,5,93,0,99,99,0,0,1,-1
14,5,94,0,99,99,0,0,1,-1
15,5,95,0,99,99,0,0,3,-1
16,4,95,0,99,99,0,0,1,-1
17,4,96,0,99,99,0,0,1,-1
18,4,97,0,99,99,0,0,3,-1
19,3,97,0,99,99,0,0,1,-1
20,3,98,0,99,99,0,0,1,-1
21,3,99,0,99,99,0,0,3,-1
22,2,99,0,99,99,0,0,1,-1
23,2,99,0,99,99,0,0,1,-1
24,2,99,0,99,99,0,0,1,-1
25,2,99,0,99,99,0,0,1,-1
26,2,99,0,99,99,0,0,1,-1
27,2,99,0,99,99,0,0,1,-1
