step,taxi_x,taxi_y,pass_x,pass_y,dest_x,dest_y,in_taxi,action,reward
0,76,70,25,25,99,99,0,0,-1
1,76,69,25,25,99,99,0,0,-1
2,76,68,25,25,99,99,0,0,-1
3,76,67,25,25,99,99,0,0,-1
4,76,66,25,25,99,99,0,0,-1
5,76,65,25,25,99,99,0,0,-1
6,76,64,25,25,99,99,0,0,-1
7,76,63,25,25,99,99,0,0,-1
8,76,62,25,25,99,99,0,0,-1
9,76,61,25,25,99,99,0,0,-1
10,76,60,25,25,99,99,0,0,-1
11,76,59,25,25,99,99,0,0,-1
12,76,58,25,25,99,99,0,0,-1
13,76,57,25,25,99,99,0,0,-1
14,76,56,25,25,99,99,0,3,-1
15,75,56,25,25,99,99,0,0,-1
16,75,55,25,25,99,99,0,0,-1
17,75,54,25,25,99,99,0,3,-1
18,74,54,25,25,99,99,0,0,-1
19,74,53,25,25,99,99,0,0,-1
20,74,52,25,25,99,99,0,3,-1
21,73,52,25,25,99,99,0,0,-1
22,73,51,25,25,99,99,0,0,-1
23,73,50,25,25,99,99,0,3,-1
24,72,50,25,25,99,99,0,0,-1
25,72,49,25,25,99,99,0,0,-1
26,72,48,25,25,99,99,0,3,-1
27,71,48,25,25,99,99,0,0,-1
28,71,47,25,25,99,99,0,0,-1
29,71,46,25,25,99,99,0,3,-1
30,70,46,25,25,99,99,0,0,-1
31,70,45,25,25,99,99,0,0,-1
32,70,44,25,25,99,99,0,3,-1
33,69,44,25,25,99,99,0,0,-1
34,69,43,25,25,99,99,0,0,-1
35,69,42,25,25,99,99,0,0,-1
36,69,41,25,25,99,99,0,0,-1
37,69,40,25,25,99,99,0,0,-1
38,69,39,25,25,99,99,0,0,-1
39,69,38,25,25,99,99,0,0,-1
40,69,37,25,25,99,99,0,0,-1
41,69,36,25,25,99,99,0,0,-1
42,69,35,25,25,99,99,0,0,-1
43,69,34,25,25,99,99,0,3,-1
44,68,34,25,25,99,99,0,0,-1
45,68,33,25,25,99,99,0,3,-1
46,67,33,25,25,99,99,0,3,-1
47,66,33,25,25,99,99,0,3,-1
48,65,33,25,25,99,99,0,3,-1
49,64,33,25,25,99,99,0,3,-1
50,63,33,25,25,99,99,0,3,-1
51,62,33,25,25,99,99,0,3,-1
52,61,33,25,25,99,99,0,3,-1
53,60,33,25,25,99,99,0,3,-1
54,59,33,25,25,99,99,0,3,-1
55,58,33,25,25,99,99,0,3,-1
56,57,33,25,25,99,99,0,3,-1
57,56,33,25,25,99,99,0,3,-1
58,55,33,25,25,99,99,0,3,-1
59,54,33,25,25,99,99,0,3,-1
60,53,33,25,25,99,99,0,3,-1
61,52,33,25,25,99,99,0,3,-1
62,51,33,25,25,99,99,0,3,-1
63,50,33,25,25,99,99,0,3,-1
64,49,33,25,25,99,99,0,3,-1
65,48,33,25,25,99,99,0,3,-1
66,47,33,25,25,99,99,0,3,-1
67,46,33,25,25,99,99,0,3,-1
68,45,33,25,25,99,99,0,3,-1
69,44,33,25,25,99,99,0,0,-1
70,44,32,25,25,99,99,0,0,-1
71,44,31,25,25,99,99,0,3,-1
72,43,31,25,25,99,99,0,3,-1
73,42,31,25,25,99,99,0,3,-1
74,41,31,25,25,99,99,0,3,-1
75,40,31,25,25,99,99,0,3,-1
76,39,31,25,25,99,99,0,3,-1
77,38,31,25,25,99,99,0,3,-1
78,37,31,25,25,99,99,0,3,-1
79,36,31,25,25,99,99,0,3,-1
80,35,31,25,25,99,99,0,3,-1
81,34,31,25,25,99,99,0,3,-1
82,33,31,25,25,99,99,0,3,-1
83,32,31,25,25,99,99,0,3,-1
84,31,31,25,25,99,99,0,3,-1
85,30,31,25,25,99,99,0,3,-1
86,29,31,25,25,99,99,0,3,-1
87,28,31,25,25,99,99,0,3,-1
88,27,31,25,25,99,99,0,3,-1
89,26,31,25,25,99,99,0,0,-1
90,26,30,25,25,99,99,0,3,-1
91,25,30,25,25,99,99,0,3,-1
92,24,30,25,25,99,99,0,0,-1
93,24,29,25,25,99,99,0,1,-1
94,24,30,25,25,99,99,0,0,-1
95,24,29,25,25,99,99,0,1,-1
96,24,30,25,25,99,99,0,0,-1
97,24,29,25,25,99,99,0,1,-1
98,24,30,25,25,99,99,0,0,-1
99,24,29,25,25,99,99,0,1,-1
100,24,30,25,25,99,99,0,0,-1
101,24,29,25,25,99,99,0,1,-1
102,24,30,25,25,99,99,0,0,-1
