step,taxi_x,taxi_y,pass_x,pass_y,dest_x,dest_y,in_taxi,action,reward
0,77,54,99,0,99,99,0,0,-1
1,77,53,99,0,99,99,0,0,-1
2,77,52,99,0,99,99,0,0,-1
3,77,51,99,0,99,99,0,0,-1
4,77,50,99,0,99,99,0,0,-1
5,77,49,99,0,99,99,0,0,-1
6,77,48,99,0,99,99,0,0,-1
7,77,47,99,0,99,99,0,0,-1
8,77,46,99,0,99,99,0,0,-1
9,77,45,99,0,99,99,0,0,-1
10,77,44,99,0,99,99,0,0,-1
11,77,43,99,0,99,99,0,0,-1
12,77,42,99,0,99,99,0,0,-1
13,77,41,99,0,99,99,0,0,-1
14,77,40,99,0,99,99,0,0,-1
15,77,39,99,0,99,99,0,0,-1
16,77,38,99,0,99,99,0,0,-1
17,77,37,99,0,99,99,0,0,-1
18,77,36,99,0,99,99,0,0,-1
19,77,35,99,0,99,99,0,0,-1
20,77,34,99,0,99,99,0,0,-1
21,77,33,99,0,99,99,0,0,-1
22,77,32,99,0,99,99,0,0,-1
23,77,31,99,0,99,99,0,0,-1
24,77,30,99,0,99,99,0,0,-1
25,77,29,99,0,99,99,0,0,-1
26,77,28,99,0,99,99,0,0,-1
27,77,27,99,0,99,99,0,0,-1
28,77,26,99,0,99,99,0,0,-1
29,77,25,99,0,99,99,0,0,-1
30,77,24,99,0,99,99,0,0,-1
31,77,23,99,0,99,99,0,0,-1
32,77,22,99,0,99,99,0,0,-1
33,77,21,99,0,99,99,0,0,-1
34,77,20,99,0,99,99,0,0,-1
35,77,19,99,0,99,99,0,0,-1
36,77,18,99,0,99,99,0,0,-1
37,77,17,99,0,99,99,0,0,-1
38,77,16,99,0,99,99,0,0,-1
39,77,15,99,0,99,99,0,0,-1
40,77,14,99,0,99,99,0,0,-1
41,77,13,99,0,99,99,0,0,-1
42,77,12,99,0,99,99,0,0,-1
43,77,11,99,0,99,99,0,0,-1
44,77,10,99,0,99,99,0,0,-1
45,77,9,99,0,99,99,0,0,-1
46,77,8,99,0,99,99,0,2,-1
47,78,8,99,0,99,99,0,2,-1
48,79,8,99,0,99,99,0,2,-1
49,80,8,99,0,99,99,0,0,-1
50,80,7,99,0,99,99,0,0,-1
51,80,6,99,0,99,99,0,2,-1
52,81,6,99,0,99,99,0,2,-1
53,82,6,99,0,99,99,0,0,-1
54,82,5,99,0,99,99,0,2,-1
55,83,5,99,0,99,99,0,0,-1
56,83,4,99,0,99,99,0,2,-1
57,84,4,99,0,99,99,0,2,-1
58,85,4,99,0,99,99,0,0,-1
59,85,3,99,0,99,99,0,2,-1
60,86,3,99,0,99,99,0,2,-1
61,87,3,99,0,99,99,0,2,-1
62,88,3,99,0,99,99,0,2,-1
63,89,3,99,0,99,99,0,2,-1
64,90,3,99,0,99,99,0,2,-1
65,91,3,99,0,99,99,0,2,-1
66,92,3,99,0,99,99,0,2,-1
67,93,3,99,0,99,99,0,2,-1
68,94,3,99,0,99,99,0,2,-1
69,95,3,99,0,99,99,0,2,-1
70,96,3,99,0,99,99,0,2,-1
71,97,3,99,0,99,99,0,2,-1
72,98,3,99,0,99,99,0,2,-1
73,99,3,99,0,99,99,0,2,-1
74,99,3,99,0,99,99,0,2,-1
75,99,3,99,0,99,99,0,2,-1
76,99,3,99,0,99,99,0,2,-1
77,99,3,99,0,99,99,0,2,-1
78,99,3,99,0,99,99,0,2,-1
