step,taxi_x,taxi_y,pass_x,pass_y,dest_x,dest_y,in_taxi,action,reward
0,28,63,0,99,25,25,0,1,-1
1,28,64,0,99,25,25,0,1,-1
2,28,65,0,99,25,25,0,1,-1
3,28,66,0,99,25,25,0,1,-1
4,28,67,0,99,25,25,0,1,-1
5,28,68,0,99,25,25,0,1,-1
6,28,69,0,99,25,25,0,1,-1
7,28,70,0,99,25,25,0,1,-1
8,28,71,0,99,25,25,0,3,-1
9,27,71,0,99,25,25,0,3,-1
10,26,71,0,99,25,25,0,3,-1
11,25,71,0,99,25,25,0,1,-1
12,25,72,0,99,25,25,0,3,-1
13,24,72,0,99,25,25,0,3,-1
14,23,72,0,99,25,25,0,3,-1
15,22,72,0,99,25,25,0,1,-1
16,22,73,0,99,25,25,0,3,-1
17,21,73,0,99,25,25,0,3,-1
18,20,73,0,99,25,25,0,3,-1
19,19,73,0,99,25,25,0,1,-1
20,19,74,0,99,25,25,0,3,-1
21,18,74,0,99,25,25,0,3,-1
22,17,74,0,99,25,25,0,1,-1
23,17,75,0,99,25,25,0,3,-1
24,16,75,0,99,25,25,0,1,-1
25,16,76,0,99,25,25,0,1,-1
26,16,77,0,99,25,25,0,3,-1
27,15,77,0,99,25,25,0,1,-1
28,15,78,0,99,25,25,0,1,-1
29,15,79,0,99,25,25,0,3,-1
30,14,79,0,99,25,25,0,1,-1
31,14,80,0,99,25,25,0,1,-1
32,14,81,0,99,25,25,0,3,-1
33,13,81,0,99,25,25,0,1,-1
34,13,82,0,99,25,25,0,1,-1
35,13,83,0,99,25,25,0,3,-1
36,12,83,0,99,25,25,0,3,-1
37,11,83,0,99,25,25,0,1,-1
38,11,84,0,99,25,25,0,1,-1
39,11,85,0,99,25,25,0,1,-1
40,11,86,0,99,25,25,0,3,-1
41,10,86,0,99,25,25,0,3,-1
42,9,86,0,99,25,25,0,3,-1
43,8,86,0,99,25,25,0,1,-1
44,8,87,0,99,25,25,0,1,-1
45,8,88,0,99,25,25,0,1,-1
46,8,89,0,99,25,25,0,1,-1
47,8,90,0,99,25,25,0,1,-1
48,8,91,0,99,25,25,0,1,-1
49,8,92,0,99,25,25,0,1,-1
50,8,93,0,99,25,25,0,3,-1
51,7,93,0,99,25,25,0,1,-1
52,7,94,0,99,25,25,0,1,-1
53,7,95,0,99,25,25,0,3,-1
54,6,95,0,99,25,25,0,1,-1
55,6,96,0,99,25,25,0,1,-1
56,6,97,0,99,25,25,0,3,-1
57,5,97,0,99,25,25,0,1,-1
58,5,98,0,99,25,25,0,1,-1
59,5,99,0,99,25,25,0,3,-1
60,4,99,0,99,25,25,0,1,-1
61,4,99,0,99,25,25,0,1,-1
62,4,99,0,99,25,25,0,1,-1
63,4,99,0,99,25,25,0,1,-1
64,4,99,0,99,25,25,0,1,-1
65,4,99,0,99,25,25,0,1,-1
