step,taxi_x,taxi_y,pass_x,pass_y,dest_x,dest_y,in_taxi,action,reward
0,23,10,50,50,0,0,0,1,-1
1,23,11,50,50,0,0,0,1,-1
2,23,12,50,50,0,0,0,1,-1
3,23,13,50,50,0,0,0,1,-1
4,23,14,50,50,0,0,0,1,-1
5,23,15,50,50,0,0,0,1,-1
6,23,16,50,50,0,0,0,1,-1
7,23,17,50,50,0,0,0,1,-1
8,23,18,50,50,0,0,0,1,-1
9,23,19,50,50,0,0,0,1,-1
10,23,20,50,50,0,0,0,1,-1
11,23,21,50,50,0,0,0,1,-1
12,23,22,50,50,0,0,0,1,-1
13,23,23,50,50,0,0,0,1,-1
14,23,24,50,50,0,0,0,1,-1
15,23,25,50,50,0,0,0,1,-1
16,23,26,50,50,0,0,0,1,-1
17,23,27,50,50,0,0,0,1,-1
18,23,28,50,50,0,0,0,1,-1
19,23,29,50,50,0,0,0,1,-1
20,23,30,50,50,0,0,0,1,-1
21,23,31,50,50,0,0,0,1,-1
22,23,32,50,50,0,0,0,1,-1
23,23,33,50,50,0,0,0,1,-1
24,23,34,50,50,0,0,0,1,-1
25,23,35,50,50,0,0,0,1,-1
26,23,36,50,50,0,0,0,1,-1
27,23,37,50,50,0,0,0,1,-1
28,23,38,50,50,0,0,0,2,-1
29,24,38,50,50,0,0,0,2,-1
30,25,38,50,50,0,0,0,2,-1
31,26,38,50,50,0,0,0,2,-1
32,27,38,50,50,0,0,0,2,-1
33,28,38,50,50,0,0,0,2,-1
34,29,38,50,50,0,0,0,2,-1
35,30,38,50,50,0,0,0,2,-1
36,31,38,50,50,0,0,0,2,-1
37,32,38,50,50,0,0,0,2,-1
38,33,38,50,50,0,0,0,2,-1
39,34,38,50,50,0,0,0,2,-1
40,35,38,50,50,0,0,0,1,-1
41,35,39,50,50,0,0,0,2,-1
42,36,39,50,50,0,0,0,1,-1
43,36,40,50,50,0,0,0,1,-1
44,36,41,50,50,0,0,0,2,-1
45,37,41,50,50,0,0,0,1,-1
46,37,42,50,50,0,0,0,2,-1
47,38,42,50,50,0,0,0,1,-1
48,38,43,50,50,0,0,0,2,-1
49,39,43,50,50,0,0,0,1,-1
50,39,44,50,50,0,0,0,1,-1
51,39,45,50,50,0,0,0,2,-1
52,40,45,50,50,0,0,0,1,-1
53,40,46,50,50,0,0,0,2,-1
54,41,46,50,50,0,0,0,2,-1
55,42,46,50,50,0,0,0,1,-1
56,42,47,50,50,0,0,0,2,-1
57,43,47,50,50,0,0,0,3,-1
58,42,47,50,50,0,0,0,2,-1
59,43,47,50,50,0,0,0,3,-1
60,42,47,50,50,0,0,0,2,-1
61,43,47,50,50,0,0,0,3,-1
62,42,47,50,50,0,0,0,2,-1
63,43,47,50,50,0,0,0,3,-1
64,42,47,50,50,0,0,0,2,-1
65,43,47,50,50,0,0,0,3,-1
66,42,47,50,50,0,0,0,2,-1
