step,taxi_x,taxi_y,pass_x,pass_y,dest_x,dest_y,in_taxi,action,reward
0,83,51,50,50,99,99,0,3,-1
1,82,51,50,50,99,99,0,3,-1
2,81,51,50,50,99,99,0,3,-1
3,80,51,50,50,99,99,0,3,-1
4,79,51,50,50,99,99,0,3,-1
5,78,51,50,50,99,99,0,3,-1
6,77,51,50,50,99,99,0,3,-1
7,76,51,50,50,99,99,0,3,-1
8,75,51,50,50,99,99,0,3,-1
9,74,51,50,50,99,99,0,3,-1
10,73,51,50,50,99,99,0,3,-1
11,72,51,50,50,99,99,0,3,-1
12,71,51,50,50,99,99,0,3,-1
13,70,51,50,50,99,99,0,3,-1
14,69,51,50,50,99,99,0,3,-1
15,68,51,50,50,99,99,0,3,-1
16,67,51,50,50,99,99,0,3,-1
17,66,51,50,50,99,99,0,3,-1
18,65,51,50,50,99,99,0,3,-1
19,64,51,50,50,99,99,0,3,-1
20,63,51,50,50,99,99,0,3,-1
21,62,51,50,50,99,99,0,3,-1
22,61,51,50,50,99,99,0,3,-1
23,60,51,50,50,99,99,0,3,-1
24,59,51,50,50,99,99,0,3,-1
25,58,51,50,50,99,99,0,3,-1
26,57,51,50,50,99,99,0,3,-1
27,56,51,50,50,99,99,0,3,-1
28,55,51,50,50,99,99,0,3,-1
29,54,51,50,50,99,99,0,3,-1
30,53,51,50,50,99,99,0,3,-1
31,52,51,50,50,99,99,0,3,-1
32,51,51,50,50,99,99,0,3,-1
33,50,51,50,50,99,99,0,0,-1
34,50,50,50,50,99,99,0,3,-1
35,49,50,50,50,99,99,0,0,-1
36,49,49,50,50,99,99,0,1,-1
37,49,50,50,50,99,99,0,0,-1
38,49,49,50,50,99,99,0,1,-1
39,49,50,50,50,99,99,0,0,-1
40,49,49,50,50,99,99,0,1,-1
41,49,50,50,50,99,99,0,0,-1
42,49,49,50,50,99,99,0,1,-1
43,49,50,50,50,99,99,0,0,-1
44,49,49,50,50,99,99,0,1,-1
45,49,50,50,50,99,99,0,0,-1
