step,taxi_x,taxi_y,pass_x,pass_y,dest_x,dest_y,in_taxi,action,reward
0,78,40,25,25,99,0,0,3,-1
1,77,40,25,25,99,0,0,3,-1
2,76,40,25,25,99,0,0,3,-1
3,75,40,25,25,99,0,0,3,-1
4,74,40,25,25,99,0,0,3,-1
5,73,40,25,25,99,0,0,3,-1
6,72,40,25,25,99,0,0,3,-1
7,71,40,25,25,99,0,0,0,-1
8,71,39,25,25,99,0,0,3,-1
9,70,39,25,25,99,0,0,3,-1
10,69,39,25,25,99,0,0,3,-1
11,68,39,25,25,99,0,0,3,-1
12,67,39,25,25,99,0,0,3,-1
13,66,39,25,25,99,0,0,3,-1
14,65,39,25,25,99,0,0,3,-1
15,64,39,25,25,99,0,0,3,-1
16,63,39,25,25,99,0,0,3,-1
17,62,39,25,25,99,0,0,3,-1
18,61,39,25,25,99,0,0,3,-1
19,60,39,25,25,99,0,0,3,-1
20,59,39,25,25,99,0,0,3,-1
21,58,39,25,25,99,0,0,3,-1
22,57,39,25,25,99,0,0,3,-1
23,56,39,25,25,99,0,0,3,-1
24,55,39,25,25,99,0,0,3,-1
25,54,39,25,25,99,0,0,3,-1
26,53,39,25,25,99,0,0,3,-1
27,52,39,25,25,99,0,0,3,-1
28,51,39,25,25,99,0,0,3,-1
29,50,39,25,25,99,0,0,3,-1
30,49,39,25,25,99,0,0,3,-1
31,48,39,25,25,99,0,0,3,-1
32,47,39,25,25,99,0,0,3,-1
33,46,39,25,25,99,0,0,3,-1
34,45,39,25,25,99,0,0,3,-1
35,44,39,25,25,99,0,0,3,-1
36,43,39,25,25,99,0,0,3,-1
37,42,39,25,25,99,0,0,0,-1
38,42,38,25,25,99,0,0,3,-1
39,41,38,25,25,99,0,0,3,-1
40,40,38,25,25,99,0,0,3,-1
41,39,38,25,25,99,0,0,3,-1
42,38,38,25,25,99,0,0,3,-1
43,37,38,25,25,99,0,0,3,-1
44,36,38,25,25,99,0,0,3,-1
45,35,38,25,25,99,0,0,3,-1
46,34,38,25,25,99,0,0,3,-1
47,33,38,25,25,99,0,0,3,-1
48,32,38,25,25,99,0,0,3,-1
49,31,38,25,25,99,0,0,3,-1
50,30,38,25,25,99,0,0,3,-1
51,29,38,25,25,99,0,0,3,-1
52,28,38,25,25,99,0,0,3,-1
53,27,38,25,25,99,0,0,3,-1
54,26,38,25,25,99,0,0,0,-1
55,26,37,25,25,99,0,0,0,-1
56,26,36,25,25,99,0,0,0,-1
57,26,35,25,25,99,0,0,3,-1
58,25,35,25,25,99,0,0,0,-1
59,25,34,25,25,99,0,0,0,-1
60,25,33,25,25,99,0,0,0,-1
61,25,32,25,25,99,0,0,0,-1
62,25,31,25,25,99,0,0,0,-1
63,25,30,25,25,99,0,0,0,-1
64,25,29,25,25,99,0,0,3,-1
65,24,29,25,25,99,0,0,0,-1
66,24,28,25,25,99,0,0,0,-1
67,24,27,25,25,99,0,0,3,-1
68,23,27,25,25,99,0,0,2,-1
69,24,27,25,25,99,0,0,3,-1
70,23,27,25,25,99,0,0,2,-1
71,24,27,25,25,99,0,0,3,-1
72,23,27,25,25,99,0,0,2,-1
73,24,27,25,25,99,0,0,3,-1
74,23,27,25,25,99,0,0,2,-1
75,24,27,25,25,99,0,0,3,-1
76,23,27,25,25,99,0,0,2,-1
77,24,27,25,25,99,0,0,3,-1
