step,taxi_x,taxi_y,pass_x,pass_y,dest_x,dest_y,in_taxi,action,reward
0,88,84,99,99,0,99,0,1,-1
1,88,85,99,99,0,99,0,1,-1
2,88,86,99,99,0,99,0,1,-1
3,88,87,99,99,0,99,0,1,-1
4,88,88,99,99,0,99,0,2,-1
5,89,88,99,99,0,99,0,1,-1
6,89,89,99,99,0,99,0,2,-1
7,90,89,99,99,0,99,0,1,-1
8,90,90,99,99,0,99,0,2,-1
9,91,90,99,99,0,99,0,1,-1
10,91,91,99,99,0,99,0,2,-1
11,92,91,99,99,0,99,0,1,-1
12,92,92,99,99,0,99,0,2,-1
13,93,92,99,99,0,99,0,1,-1
14,93,93,99,99,0,99,0,2,-1
15,94,93,99,99,0,99,0,1,-1
16,94,94,99,99,0,99,0,2,-1
17,95,94,99,99,0,99,0,1,-1
18,95,95,99,99,0,99,0,2,-1
19,96,95,99,99,0,99,0,1,-1
20,96,96,99,99,0,99,0,2,-1
21,97,96,99,99,0,99,0,1,-1
22,97,97,99,99,0,99,0,1,-1
23,97,98,99,99,0,99,0,1,-1
24,97,99,99,99,0,99,0,1,-1
25,97,99,99,99,0,99,0,1,-1
26,97,99,99,99,0,99,0,1,-1
27,97,99,99,99,0,99,0,1,-1
28,97,99,99,99,0,99,0,1,-1
29,97,99,99,99,0,99,0,1,-1
