step,taxi_x,taxi_y,pass_x,pass_y,dest_x,dest_y,in_taxi,action,reward
0,51,21,75,75,25,25,0,1,-1
1,51,22,75,75,25,25,0,1,-1
2,51,23,75,75,25,25,0,1,-1
3,51,24,75,75,25,25,0,1,-1
4,51,25,75,75,25,25,0,1,-1
5,51,26,75,75,25,25,0,1,-1
6,51,27,75,75,25,25,0,1,-1
7,51,28,75,75,25,25,0,1,-1
8,51,29,75,75,25,25,0,1,-1
9,51,30,75,75,25,25,0,1,-1
10,51,31,75,75,25,25,0,1,-1
11,51,32,75,75,25,25,0,1,-1
12,51,33,75,75,25,25,0,1,-1
13,51,34,75,75,25,25,0,1,-1
14,51,35,75,75,25,25,0,1,-1
15,51,36,75,75,25,25,0,1,-1
16,51,37,75,75,25,25,0,1,-1
17,51,38,75,75,25,25,0,1,-1
18,51,39,75,75,25,25,0,1,-1
19,51,40,75,75,25,25,0,1,-1
20,51,41,75,75,25,25,0,1,-1
21,51,42,75,75,25,25,0,1,-1
22,51,43,75,75,25,25,0,1,-1
23,51,44,75,75,25,25,0,1,-1
24,51,45,75,75,25,25,0,1,-1
25,51,46,75,75,25,25,0,1,-1
26,51,47,75,75,25,25,0,1,-1
27,51,48,75,75,25,25,0,1,-1
28,51,49,75,75,25,25,0,1,-1
29,51,50,75,75,25,25,0,1,-1
30,51,51,75,75,25,25,0,1,-1
31,51,52,75,75,25,25,0,1,-1
32,51,53,75,75,25,25,0,1,-1
33,51,54,75,75,25,25,0,1,-1
34,51,55,75,75,25,25,0,2,-1
35,52,55,75,75,25,25,0,2,-1
36,53,55,75,75,25,25,0,2,-1
37,54,55,75,75,25,25,0,2,-1
38,55,55,75,75,25,25,0,2,-1
39,56,55,75,75,25,25,0,2,-1
40,57,55,75,75,25,25,0,2,-1
41,58,55,75,75,25,25,0,1,-1
42,58,56,75,75,25,25,0,2,-1
43,59,56,75,75,25,25,0,1,-1
44,59,57,75,75,25,25,0,1,-1
45,59,58,75,75,25,25,0,2,-1
46,60,58,75,75,25,25,0,1,-1
47,60,59,75,75,25,25,0,2,-1
48,61,59,75,75,25,25,0,2,-1
49,62,59,75,75,25,25,0,2,-1
50,63,59,75,75,25,25,0,2,-1
51,64,59,75,75,25,25,0,1,-1
52,64,60,75,75,25,25,0,2,-1
53,65,60,75,75,25,25,0,1,-1
54,65,61,75,75,25,25,0,1,-1
55,65,62,75,75,25,25,0,1,-1
56,65,63,75,75,25,25,0,1,-1
57,65,64,75,75,25,25,0,1,-1
58,65,65,75,75,25,25,0,1,-1
59,65,66,75,75,25,25,0,1,-1
60,65,67,75,75,25,25,0,2,-1
61,66,67,75,75,25,25,0,1,-1
62,66,68,75,75,25,25,0,1,-1
63,66,69,75,75,25,25,0,2,-1
64,67,69,75,75,25,25,0,1,-1
65,67,70,75,75,25,25,0,2,-1
66,68,70,75,75,25,25,0,1,-1
67,68,71,75,75,25,25,0,1,-1
68,68,72,75,75,25,25,0,2,-1
69,69,72,75,75,25,25,0,1,-1
70,69,73,75,75,25,25,0,2,-1
71,70,73,75,75,25,25,0,1,-1
72,70,74,75,75,25,25,0,1,-1
73,70,75,75,75,25,25,0,2,-1
74,71,75,75,75,25,25,0,1,-1
75,71,76,75,75,25,25,0,2,-1
76,72,76,75,75,25,25,0,1,-1
77,72,77,75,75,25,25,0,2,-1
78,73,77,75,75,25,25,0,1,-1
79,73,78,75,75,25,25,0,3,-1
80,72,78,75,75,25,25,0,2,-1
81,73,78,75,75,25,25,0,3,-1
82,72,78,75,75,25,25,0,2,-1
83,73,78,75,75,25,25,0,3,-1
84,72,78,75,75,25,25,0,2,-1
85,73,78,75,75,25,25,0,3,-1
86,72,78,75,75,25,25,0,2,-1
87,73,78,75,75,25,25,0,3,-1
88,72,78,75,75,25,25,0,2,-1
89,73,78,75,75,25,25,0,3,-1
