step,taxi_x,taxi_y,pass_x,pass_y,dest_x,dest_y,in_taxi,action,reward
0,6,5,0,99,50,50,0,3,-1
1,5,5,0,99,50,50,0,3,-1
2,4,5,0,99,50,50,0,3,-1
3,3,5,0,99,50,50,0,1,-1
4,3,6,0,99,50,50,0,1,-1
5,3,7,0,99,50,50,0,1,-1
6,3,8,0,99,50,50,0,1,-1
7,3,9,0,99,50,50,0,1,-1
8,3,10,0,99,50,50,0,1,-1
9,3,11,0,99,50,50,0,1,-1
10,3,12,0,99,50,50,0,1,-1
11,3,13,0,99,50,50,0,1,-1
12,3,14,0,99,50,50,0,1,-1
13,3,15,0,99,50,50,0,1,-1
14,3,16,0,99,50,50,0,1,-1
15,3,17,0,99,50,50,0,1,-1
16,3,18,0,99,50,50,0,1,-1
17,3,19,0,99,50,50,0,1,-1
18,3,20,0,99,50,50,0,1,-1
19,3,21,0,99,50,50,0,3,-1
20,2,21,0,99,50,50,0,1,-1
21,2,22,0,99,50,50,0,3,-1
22,1,22,0,99,50,50,0,1,-1
23,1,23,0,99,50,50,0,1,-1
24,1,24,0,99,50,50,0,1,-1
25,1,25,0,99,50,50,0,1,-1
26,1,26,0,99,50,50,0,1,-1
27,1,27,0,99,50,50,0,1,-1
28,1,28,0,99,50,50,0,1,-1
29,1,29,0,99,50,50,0,1,-1
30,1,30,0,99,50,50,0,1,-1
31,1,31,0,99,50,50,0,1,-1
32,1,32,0,99,50,50,0,1,-1
33,1,33,0,99,50,50,0,1,-1
34,1,34,0,99,50,50,0,1,-1
35,1,35,0,99,50,50,0,1,-1
36,1,36,0,99,50,50,0,1,-1
37,1,37,0,99,50,50,0,1,-1
38,1,38,0,99,50,50,0,1,-1
39,1,39,0,99,50,50,0,1,-1
40,1,40,0,99,50,50,0,1,-1
41,1,41,0,99,50,50,0,1,-1
42,1,42,0,99,50,50,0,1,-1
43,1,43,0,99,50,50,0,1,-1
44,1,44,0,99,50,50,0,1,-1
45,1,45,0,99,50,50,0,1,-1
46,1,46,0,99,50,50,0,1,-1
47,1,47,0,99,50,50,0,1,-1
48,1,48,0,99,50,50,0,1,-1
49,1,49,0,99,50,50,0,1,-1
50,1,50,0,99,50,50,0,1,-1
51,1,51,0,99,50,50,0,1,-1
52,1,52,0,99,50,50,0,1,-1
53,1,53,0,99,50,50,0,1,-1
54,1,54,0,99,50,50,0,1,-1
55,1,55,0,99,50,50,0,1,-1
56,1,56,0,99,50,50,0,1,-1
57,1,57,0,99,50,50,0,1,-1
58,1,58,0,99,50,50,0,1,-1
59,1,59,0,99,50,50,0,1,-1
60,1,60,0,99,50,50,0,1,-1
61,1,61,0,99,50,50,0,1,-1
62,1,62,0,99,50,50,0,1,-1
63,1,63,0,99,50,50,0,1,-1
64,1,64,0,99,50,50,0,1,-1
65,1,65,0,99,50,50,0,1,-1
66,1,66,0,99,50,50,0,1,-1
67,1,67,0,99,50,50,0,1,-1
68,1,68,0,99,50,50,0,1,-1
69,1,69,0,99,50,50,0,1,-1
70,1,70,0,99,50,50,0,1,-1
71,1,71,0,99,50,50,0,1,-1
72,1,72,0,99,50,50,0,1,-1
73,1,73,0,99,50,50,0,1,-1
74,1,74,0,99,50,50,0,1,-1
75,1,75,0,99,50,50,0,1,-1
76,1,76,0,99,50,50,0,1,-1
77,1,77,0,99,50,50,0,1,-1
78,1,78,0,99,50,50,0,1,-1
79,1,79,0,99,50,50,0,1,-1
80,1,80,0,99,50,50,0,1,-1
81,1,81,0,99,50,50,0,1,-1
82,1,82,0,99,50,50,0,1,-1
83,1,83,0,99,50,50,0,1,-1
84,1,84,0,99,50,50,0,1,-1
85,1,85,0,99,50,50,0,3,-1
86,0,85,0,99,50,50,0,1,-1
87,0,86,0,99,50,50,0,1,-1
88,0,87,0,99,50,50,0,1,-1
89,0,88,0,99,50,50,0,1,-1
90,0,89,0,99,50,50,0,1,-1
91,0,90,0,99,50,50,0,1,-1
92,0,91,0,99,50,50,0,1,-1
93,0,92,0,99,50,50,0,1,-1
94,0,93,0,99,50,50,0,1,-1
95,0,94,0,99,50,50,0,1,-1
96,0,95,0,99,50,50,0,1,-1
97,0,96,0,99,50,50,0,1,-1
98,0,97,0,99,50,50,0,1,-1
99,0,98,0,99,50,50,0,1,-1
100,0,99,0,99,50,50,0,1,-1
101,0,99,0,99,50,50,0,1,-1
102,0,99,0,99,50,50,0,1,-1
103,0,99,0,99,50,50,0,1,-1
104,0,99,0,99,50,50,0,1,-1
105,0,99,0,99,50,50,0,1,-1
